complex,AF3_binder_Interface_size,OF3_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,OF3_Target_interface_size,target_jaccard
paulafcfranklin.synth_rosetta_3,35,24,0.43902439024390244,42,51,0.5
paulafcfranklin.synth_rosetta_4,35,31,0.5714285714285714,39,67,0.39473684210526316
paulafcfranklin.synth_rosetta_5,33,30,0.3404255319148936,43,65,0.3333333333333333
paulafcfranklin.synth_rosetta_6,36,21,0.29545454545454547,42,38,0.45454545454545453
paulafcfranklin.synth_rosetta_7,36,21,0.32558139534883723,39,37,0.6521739130434783
paulafcfranklin.synth_rosetta_8,34,27,0.32608695652173914,44,64,0.6363636363636364
paulafcfranklin.synth_rosetta_9,34,31,0.5853658536585366,42,60,0.34210526315789475
praghava531.seq2,13,38,0.0625,15,75,0.16883116883116883
qilin_y.test4,14,33,0.23684210526315788,18,51,0.0
qilin_y.test5,18,38,0.19148936170212766,23,59,0.20588235294117646
qilin_y.test6,22,53,0.25,17,90,0.16304347826086957
qilin_y.test7,11,19,0.2,21,35,0.12
qilin_y.test8,8,15,0.21052631578947367,12,30,0.0
qxy615.s1_rfd_base_46_60,15,30,0.15384615384615385,16,62,0.0
qxy615.s1_rfd_base_46_94,19,28,0.42424242424242425,24,63,0.24285714285714285
qxy615.s1_rfd_comp_beta_782_81,13,38,0.18604651162790697,19,66,0.25
qy.qilin.yu.10-13-21_sample267_complex_42_complex,19,30,0.16666666666666666,24,56,0.15942028985507245
revoli.mutated_nab_5,34,66,0.19047619047619047,41,109,0.10294117647058823
revoli.mutated_nab_8,40,66,0.358974358974359,47,117,0.09333333333333334
revoli.mutated_nab_9,35,45,0.23076923076923078,38,87,0.13636363636363635
rohith.mohan.model_67_69_2,22,26,0.4117647058823529,25,44,0.38
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,23,77,0.12359550561797752,23,98,0.11009174311926606
s1995825.cotimed_egf_netsolp_usability_1,32,22,0.35,39,55,0.46875
s1995825.cotimed_egf_netsolp_usability_2,32,21,0.4722222222222222,39,46,0.4406779661016949
s1995825.cotimed_egf_netsolp_usability_3,32,18,0.3888888888888889,39,36,0.5
s1995825.cotimed_egf_netsolp_usability_4,33,16,0.2564102564102564,38,37,0.6304347826086957
s1995825.cotimed_egf_netsolp_usability_5,33,17,0.3888888888888889,37,39,0.5510204081632653
s1995825.cotimed_egf_netsolp_usability_6,32,22,0.35,37,31,0.5111111111111111
s1995825.cotimed_egf_netsolp_usability_7,25,28,0.325,22,66,0.0
s1995825.cotimed_egf_netsolp_usability_8,32,25,0.3902439024390244,38,40,0.5294117647058824
s1995825.timed_egf_netsolp_usability_consensus_1,32,19,0.4166666666666667,38,37,0.5306122448979592
s1995825.timed_egf_netsolp_usability_consensus_2,32,16,0.2972972972972973,37,32,0.46808510638297873
salireza111.seq119_3_001_8,14,29,0.2647058823529412,15,57,0.0
salireza111.seq166_1_001_7,17,25,0.5,18,52,0.1864406779661017
salireza111.seq166_3_002_4,15,26,0.36666666666666664,19,58,0.16666666666666666
salireza111.seq166_7_003_9,17,24,0.36666666666666664,18,52,0.25
salireza111.seq206_1_001_6,22,23,0.3235294117647059,22,44,0.2222222222222222
silvia.toscani.b_egfr_6,21,30,0.10869565217391304,27,60,0.17567567567567569
spacecruiser42.d2_prompt_binder_t0.8_42,10,14,0.6,15,31,0.2777777777777778
spacecruiser42.d2_prompt_binder_t0.8_88,11,13,0.5,15,26,0.5185185185185185
spacecruiser42.d2_prompt_binder_t1.0_139,15,16,0.631578947368421,22,37,0.0
spacecruiser42.d2_prompt_binder_t1.0_22,13,12,0.5625,20,27,0.38235294117647056
spacecruiser42.d2_prompt_binder_t1.0_37,11,15,0.5294117647058824,20,33,0.0
ssomani.17,16,64,0.14285714285714285,16,90,0.16483516483516483
stocco.filippo.1.3.3.18_13_0_iteration12_1.0279718223732435,14,23,0.37037037037037035,22,40,0.37777777777777777
stocco.filippo.1.3.3.18_37_0_iteration3_1.024851931427025,15,21,0.2857142857142857,21,39,0.3953488372093023
stocco.filippo.1.3.3.18_40_0_iteration12_1.0321554292304749,35,22,0.3902439024390244,42,43,0.6346153846153846
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,36,35,0.5777777777777777,40,71,0.37037037037037035
stocco.filippo.1.3.3.18_51_2_iteration3_1.0356664070457622,32,23,0.30952380952380953,41,45,0.6538461538461539
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,33,22,0.2222222222222222,43,42,0.6346153846153846
tadaskluonis.cotimed_egf_bcseq_0,30,25,0.375,39,61,0.42857142857142855
tadaskluonis.cotimed_egf_bcseq_1,33,26,0.5945945945945946,39,49,0.6296296296296297
tadaskluonis.cotimed_egf_bcseq_2,33,23,0.5135135135135135,40,48,0.3968253968253968
tadej.satler.egfr_binder_3,31,52,0.22058823529411764,26,96,0.2079207920792079
tarkhov.andrey.erithacus_rubecula_gigantus_1,27,79,0.06,27,100,0.08547008547008547
tarkhov.andrey.erithacus_rubecula_gigantus_4,25,90,0.05504587155963303,35,118,0.24390243902439024
tarkhov.andrey.erithacus_rubecula_gigantus_7,26,60,0.04878048780487805,37,89,0.24752475247524752
tarkhov.andrey.erithacus_rubecula_gigantus_8,33,84,0.18181818181818182,32,103,0.13445378151260504
tarkhov.andrey.erithacus_rubecula_gigantus_9,16,87,0.04040404040404041,19,121,0.15702479338842976
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,32,26,0.5263157894736842,48,61,0.3132530120481928
tim.silica_corpora_regions_sampled_epitope_0_generated_variant_6_rank_7_phase_2,11,48,0.09259259259259259,12,78,0.0975609756097561
tim.silica_corpora_regions_sampled_epitope_2_generated_variant_8_rank_3_phase_2,33,51,0.18309859154929578,33,86,0.043859649122807015
tim.silica_corpora_sampled_epitope_0_generated_variant_1_rank_8_phase_2,21,45,0.17857142857142858,17,96,0.08653846153846154
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,21,51,0.09090909090909091,20,86,0.13978494623655913
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,19,62,0.125,24,95,0.16666666666666666
toluwase.fatoki.toluwase_sequence3_119,10,49,0.09259259259259259,14,97,0.1326530612244898
toluwase.fatoki.toluwase_sequence4_148,28,59,0.0875,27,90,0.18181818181818182
toluwase.fatoki.toluwase_sequence6_112,21,47,0.11475409836065574,23,96,0.0
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,20,23,0.3870967741935484,23,62,0.14864864864864866
x.rustamov.p_vhh_partial_1_32,16,26,0.23529411764705882,19,46,0.0
x.rustamov.traj_11_8_model_5_0,23,51,0.23333333333333334,22,94,0.03571428571428571
x.rustamov.traj_4_8_model_1_5,24,38,0.21568627450980393,28,81,0.04807692307692308
x.rustamov.traj_6_1_model_1_8,24,49,0.2807017543859649,23,97,0.008403361344537815
x.rustamov.traj_9_8_model_1_0,14,53,0.21818181818181817,18,101,0.0
xiuming_li2015.eureka_seq_1,21,57,0.13043478260869565,24,87,0.18085106382978725
xiuming_li2015.eureka_seq_3,23,65,0.08641975308641975,23,89,0.15463917525773196
xiuming_li2015.eureka_seq_4,21,81,0.0625,23,102,0.10619469026548672
youngsuko2000.fast4,37,30,0.4888888888888889,42,76,0.40476190476190477
youngsuko2000.last,38,38,0.38181818181818183,48,71,0.367816091954023
youngsuko2000.queen,37,33,0.4,45,67,0.3176470588235294
z_peplib.pepseq_design_6,13,27,0.3333333333333333,22,42,0.3617021276595745
z_peplib.pepseq_design_8,11,26,0.23333333333333334,16,71,0.0
z_peplib.pepseq_design_9,19,27,0.3939393939393939,33,63,0.0
zalavi.shortrustamov_ggg_zalavi3,54,66,0.25,58,97,0.37168141592920356
zalavi.zalavi3_ggg_shortpacesa,27,88,0.13861386138613863,26,122,0.1746031746031746
zalavi.zalavi3_mergedaltered_rustamov,53,61,0.22580645161290322,59,87,0.3904761904761905
zhoup1366.dbz1___a,19,47,0.015384615384615385,16,87,0.15730337078651685
zhoup1366.dbz10___a,17,37,0.10204081632653061,17,72,0.0
zhoup1366.dbz6___a,16,52,0.07936507936507936,19,90,0.17204301075268819
zhoup1366.dbz7___a,20,34,0.17391304347826086,25,63,0.0
zhoup1366.dbz8___a,15,37,0.15555555555555556,21,58,0.05333333333333334
zulfatmi.pocket1pep78,13,13,0.7333333333333333,32,19,0.0
zulfatmi.pocket2pep63,7,12,0.26666666666666666,14,27,0.3225806451612903
zulfatmi.pocket7pep42,11,7,0.38461538461538464,17,18,0.34615384615384615
