complex,AF3_binder_Interface_size,Protenix_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,Protenix_Target_interface_size,target_jaccard
elian.elian4,30,49,0.58,28,67,0.0
akash.arunabharathi.design9,8,98,0.0392156862745098,13,132,0.006944444444444444
toluwase.fatoki.toluwase_sequence4_148,28,62,0.07142857142857142,27,86,0.17708333333333334
a.tucs.andrejs_tucs_seq1,31,34,0.5853658536585366,40,64,0.0196078431372549
briannaughton.egfr_plus_egfr,37,59,0.3150684931506849,43,78,0.14150943396226415
s1995825.timed_egf_netsolp_usability_consensus_1,32,29,0.525,38,50,0.023255813953488372
lennart.nickel.egfr_l139_s63093_mpnn2,23,34,0.46153846153846156,24,49,0.19672131147540983
silvia.toscani.b_egfr_6,21,26,0.6785714285714286,27,33,0.01694915254237288
mosquitolkfo.nab_design_6,18,77,0.20253164556962025,27,127,0.006535947712418301
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_chain_a,22,41,0.5,27,51,0.02631578947368421
martin.egfr_l111_s89744_mpnn1,18,34,0.4444444444444444,18,39,0.017857142857142856
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,26,115,0.13709677419354838,27,140,0.04375
noah.holzleitner.noah_egfr-binder_8,23,31,0.5882352941176471,29,48,0.013157894736842105
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,33,46,0.6122448979591837,38,84,0.025210084033613446
xiuming_li2015.eureka_seq_3,23,69,0.16455696202531644,23,92,0.05504587155963303
nhaas.8,25,107,0.2222222222222222,24,113,0.0703125
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_98_iter_184,22,90,0.13131313131313133,26,97,0.0423728813559322
tarkhov.andrey.erithacus_rubecula_gigantus_8,33,125,0.17037037037037037,32,157,0.04419889502762431
cameron.kroll.gertrude_gen6,28,45,0.5208333333333334,29,63,0.022222222222222223
akash.arunabharathi.design10,15,36,0.3783783783783784,20,70,0.022727272727272728
joaosartori2.c3,33,37,0.4583333333333333,41,74,0.15
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,16,28,0.5172413793103449,16,44,0.034482758620689655
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,26,32,0.48717948717948717,27,35,0.0
amirm.mhosseini.seq1,36,48,0.6470588235294118,41,94,0.07142857142857142
alejandro.corrochano-navarro.eng_scfv_binder_2,22,79,0.1744186046511628,22,80,0.0625
flowuenne.nf-proteindesign_design8,15,38,0.23255813953488372,22,60,0.012345679012345678
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,19,120,0.09448818897637795,23,140,0.09395973154362416
s1995825.timed_egf_netsolp_usability_consensus_2,32,35,0.5581395348837209,37,65,0.02
paulafcfranklin.synth_rosetta_2,33,45,0.56,41,88,0.04878048780487805
reed.harrison.model_56_119_0,20,28,0.6551724137931034,32,44,0.0
noah.holzleitner.noah_egfr-binder_1,21,18,0.8571428571428571,28,32,0.0
chrisxushaoyong.hu_nano2_2_7ef96e,20,59,0.2153846153846154,26,69,0.010638297872340425
minji.lee.3995,12,23,0.2962962962962963,18,32,0.02040816326530612
cameron.kroll.gertrude_gen3,29,33,0.47619047619047616,28,40,0.11475409836065574
markus.braun.egfr_binder_1,49,69,0.6857142857142857,47,68,0.008771929824561403
amirmhosseini47.mohammad_seq2,34,46,0.3793103448275862,39,70,0.12371134020618557
elian.elian3,30,45,0.5957446808510638,31,66,0.010416666666666666
revoli.mutated_nab_9,35,83,0.2826086956521739,38,122,0.08108108108108109
niklas.ee4629a9-322f-48f0-884d-8f4418db9bce_l151_s241659642_mpnn11,35,82,0.36046511627906974,38,125,0.07947019867549669
flowuenne.nf-proteindesign_design10,12,41,0.2619047619047619,13,65,0.13043478260869565
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,17,38,0.41025641025641024,24,56,0.012658227848101266
a.tucs.andrejs_tucs_seq5,31,40,0.5777777777777777,37,79,0.03571428571428571
alejandro.corrochano-navarro.eng_scfv_binder_1,22,84,0.20454545454545456,23,94,0.08333333333333333
binom16.pocket3pep98,12,22,0.5454545454545454,18,54,0.058823529411764705
lyu.1,33,35,0.7435897435897436,30,44,0.0
mlange05.c,15,60,0.25,23,71,0.0
aswini.seed1_1,26,47,0.5208333333333334,40,104,0.09923664122137404
junhee.park1999.egfr_binder_7,21,66,0.27941176470588236,28,90,0.04424778761061947
julian.faust.pimurutamabxbecotatug_scfv,24,56,0.3793103448275862,24,58,0.1232876712328767
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,23,110,0.1565217391304348,23,131,0.0547945205479452
julie.rj0aa,18,18,0.8,19,23,0.07692307692307693
amirm.mhosseini.seq3,16,42,0.2608695652173913,18,73,0.05813953488372093
qilin_y.test4,14,43,0.2391304347826087,18,72,0.0975609756097561
jvogt4.vogt_scfv_2470,18,101,0.10185185185185185,17,106,0.0423728813559322
akash.arunabharathi.design3,11,44,0.25,18,101,0.00847457627118644
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,14,36,0.35135135135135137,15,47,0.0
markus.braun.egfr_binder_6,54,63,0.647887323943662,48,74,0.08928571428571429
maxall4.egfr_trim_l126_s498823_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_l39g_round1_chain_a,26,37,0.6153846153846154,30,50,0.1111111111111111
aureliabustos.bce_var702,30,48,0.5918367346938775,38,83,0.008333333333333333
zhoup1366.dbz10___a,17,58,0.13636363636363635,17,69,0.03614457831325301
klima.jason.8hgo_design_4yyaf_0_0,24,56,0.21212121212121213,31,85,0.008695652173913044
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,26,40,0.6097560975609756,22,47,0.0
hughy.7om4_b_a_8_rnd2_v2_full,20,69,0.07228915662650602,22,91,0.056074766355140186
fernando.meireles.design_hybrid_partial_diff_9_54_binder,26,40,0.5348837209302325,32,51,0.1527777777777778
fgndd1.fg_seq1,27,49,0.5510204081632653,31,65,0.03225806451612903
tarkhov.andrey.erithacus_rubecula_gigantus_4,25,126,0.09420289855072464,35,150,0.06936416184971098
s1995825.cotimed_egf_netsolp_usability_6,32,33,0.4444444444444444,37,57,0.021739130434782608
allongoldberg.4_44_0_refined,19,47,0.375,27,75,0.0
alan.blakely.16_2,41,84,0.37362637362637363,45,116,0.0189873417721519
jack.li.egfrbindingcandidate_7,19,136,0.06896551724137931,22,162,0.07602339181286549
bronte.egfr_binder_4_91,14,28,0.4,17,41,0.017543859649122806
tarkhov.andrey.erithacus_rubecula_gigantus_7,26,114,0.1864406779661017,37,155,0.015873015873015872
merlettaia.seq0v4,15,52,0.11666666666666667,19,68,0.011627906976744186
alex.naka.venusaur,15,31,0.4375,20,72,0.022222222222222223
antorsae.ta397unsafety_2,11,34,0.3235294117647059,20,90,0.047619047619047616
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,24,39,0.6153846153846154,28,52,0.0
z_peplib.pepseq_design_6,13,39,0.20930232558139536,22,88,0.0784313725490196
qilin_y.test7,11,38,0.2894736842105263,21,116,0.03007518796992481
aureliabustos.bce_var433,31,42,0.6590909090909091,37,72,0.09
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,34,44,0.6595744680851063,33,66,0.0
kerrding.seq9,12,34,0.24324324324324326,16,50,0.0
s1995825.cotimed_egf_netsolp_usability_1,32,36,0.6585365853658537,39,63,0.009900990099009901
joaosartori2.c6,38,54,0.6140350877192983,38,112,0.10294117647058823
areddy.egfr_l169_s781475,30,63,0.453125,36,88,0.0
markus.braun.egfr_binder_7,51,73,0.6103896103896104,47,76,0.08849557522123894
