name,iptm,ptm,fraction_disordered,ranking_score,chain_iptm,chain_pair_iptm,chain_ptm
jakublala.full_dibinder_45aa.pdb,0.42,0.73,0.06,0.52,"[0.42, 0.42]","[[0.33, 0.42], [0.42, 0.75]]","[0.33, 0.75]"
antorsae.ta525_0_0,0.89,0.77,0.02,0.87,"[0.89, 0.89]","[[0.55, 0.89], [0.89, 0.76]]","[0.55, 0.76]"
amelie.schreiber.model_60_151_9,0.79,0.73,0.02,0.79,"[0.79, 0.79]","[[0.59, 0.79], [0.79, 0.74]]","[0.59, 0.74]"
stocco.filippo.1.3.3.18_37_0_iteration3_1.024851931427025,0.88,0.76,0.02,0.87,"[0.88, 0.88]","[[0.57, 0.88], [0.88, 0.76]]","[0.57, 0.76]"
tim.silica_corpora_regions_sampled_epitope_2_generated_variant_8_rank_3_phase_2,0.2,0.65,0.02,0.3,"[0.2, 0.2]","[[0.8, 0.2], [0.2, 0.73]]","[0.8, 0.73]"
alex.naka.blastoise,0.89,0.75,0.03,0.87,"[0.89, 0.89]","[[0.65, 0.89], [0.89, 0.74]]","[0.65, 0.74]"
binom16.pocket2pep86,0.37,0.78,0.05,0.48,"[0.37, 0.37]","[[0.01, 0.37], [0.37, 0.79]]","[0.01, 0.79]"
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,0.91,0.76,0.02,0.89,"[0.91, 0.91]","[[0.8, 0.91], [0.91, 0.74]]","[0.8, 0.74]"
allongoldberg.3_52_1_refined,0.68,0.7,0.02,0.69,"[0.68, 0.68]","[[0.64, 0.68], [0.68, 0.71]]","[0.64, 0.71]"
huiyu.cai.h3_15_2431_h,0.15,0.64,0.02,0.26,"[0.15, 0.15]","[[0.83, 0.15], [0.15, 0.72]]","[0.83, 0.72]"
amelie.schreiber.model_83_156_16,0.9,0.77,0.02,0.89,"[0.9, 0.9]","[[0.77, 0.9], [0.9, 0.75]]","[0.77, 0.75]"
briannaughton.1_plus_egfr,0.64,0.69,0.05,0.67,"[0.64, 0.64]","[[0.61, 0.64], [0.64, 0.7]]","[0.61, 0.7]"
lhallee.lhallee_40_full_driveid_8_9,0.21,0.72,0.08,0.35,"[0.21, 0.21]","[[0.22, 0.21], [0.21, 0.74]]","[0.22, 0.74]"
x.rustamov.traj_6_1_model_1_8,0.31,0.65,0.02,0.39,"[0.31, 0.31]","[[0.81, 0.31], [0.31, 0.71]]","[0.81, 0.71]"
julie.jg26n,0.92,0.76,0.02,0.9,"[0.92, 0.92]","[[0.7, 0.92], [0.92, 0.74]]","[0.7, 0.74]"
human_egf,0.86,0.75,0.03,0.86,"[0.86, 0.86]","[[0.63, 0.86], [0.86, 0.73]]","[0.63, 0.73]"
lennart.nickel.egfr_l114_s69310_mpnn7,0.81,0.72,0.02,0.8,"[0.81, 0.81]","[[0.76, 0.81], [0.81, 0.72]]","[0.76, 0.72]"
youngsuko2000.last,0.86,0.76,0.04,0.86,"[0.86, 0.86]","[[0.64, 0.86], [0.86, 0.74]]","[0.64, 0.74]"
zhoup1366.dbz8___a,0.11,0.63,0.02,0.23,"[0.11, 0.11]","[[0.84, 0.11], [0.11, 0.71]]","[0.84, 0.71]"
huiyu.cai.h3_15_877_h,0.14,0.61,0.02,0.24,"[0.14, 0.14]","[[0.86, 0.14], [0.14, 0.69]]","[0.86, 0.69]"
tadaskluonis.cotimed_egf_bcseq_1,0.9,0.8,0.03,0.9,"[0.9, 0.9]","[[0.66, 0.9], [0.9, 0.79]]","[0.66, 0.79]"
alan.blakely.12_3,0.7,0.71,0.07,0.73,"[0.7, 0.7]","[[0.55, 0.7], [0.7, 0.73]]","[0.55, 0.73]"
a.tucs.andrejs_tucs_seq4,0.92,0.75,0.03,0.9,"[0.92, 0.92]","[[0.63, 0.92], [0.92, 0.73]]","[0.63, 0.73]"
martin.egfr_l121_s46924_mpnn18,0.87,0.76,0.02,0.86,"[0.87, 0.87]","[[0.78, 0.87], [0.87, 0.75]]","[0.78, 0.75]"
qilin_y.test6,0.23,0.64,0.02,0.32,"[0.23, 0.23]","[[0.51, 0.23], [0.23, 0.69]]","[0.51, 0.69]"
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,0.29,0.6,0.02,0.36,"[0.29, 0.29]","[[0.84, 0.29], [0.29, 0.67]]","[0.84, 0.67]"
lhallee.lhallee_40_target_driveid_10,0.22,0.73,0.08,0.36,"[0.22, 0.22]","[[0.13, 0.22], [0.22, 0.76]]","[0.13, 0.76]"
youngsuko2000.queen,0.86,0.75,0.04,0.86,"[0.86, 0.86]","[[0.62, 0.86], [0.86, 0.74]]","[0.62, 0.74]"
alecl.unrelaxeda,0.89,0.67,0.03,0.86,"[0.89, 0.89]","[[0.65, 0.89], [0.89, 0.65]]","[0.65, 0.65]"
lennart.nickel.egfr_l170_s20625_mpnn10,0.88,0.77,0.02,0.87,"[0.88, 0.88]","[[0.82, 0.88], [0.88, 0.74]]","[0.82, 0.74]"
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,0.93,0.77,0.02,0.91,"[0.93, 0.93]","[[0.78, 0.93], [0.93, 0.75]]","[0.78, 0.75]"
lyu.3,0.91,0.78,0.02,0.89,"[0.91, 0.91]","[[0.76, 0.91], [0.91, 0.76]]","[0.76, 0.76]"
alessio.daddio.ad_1,0.92,0.79,0.03,0.91,"[0.92, 0.92]","[[0.74, 0.92], [0.92, 0.76]]","[0.74, 0.76]"
revoli.mutated_nab_8,0.12,0.61,0.02,0.23,"[0.12, 0.12]","[[0.84, 0.12], [0.12, 0.69]]","[0.84, 0.69]"
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,0.85,0.76,0.02,0.84,"[0.85, 0.85]","[[0.59, 0.85], [0.85, 0.76]]","[0.59, 0.76]"
karmanyaaggarwal.ds003076,0.36,0.63,0.02,0.42,"[0.36, 0.36]","[[0.86, 0.36], [0.36, 0.68]]","[0.86, 0.68]"
biolucasmachado.engineered_binder_4,0.89,0.77,0.04,0.89,"[0.89, 0.89]","[[0.66, 0.89], [0.89, 0.76]]","[0.66, 0.76]"
fernando.meireles.design_hybrid_partial_diff_7_1_binder,0.27,0.63,0.02,0.35,"[0.27, 0.27]","[[0.47, 0.27], [0.27, 0.69]]","[0.47, 0.69]"
724928537.dbz6___a,0.15,0.61,0.02,0.25,"[0.15, 0.15]","[[0.82, 0.15], [0.15, 0.69]]","[0.82, 0.69]"
lyu.2,0.91,0.78,0.02,0.89,"[0.91, 0.91]","[[0.75, 0.91], [0.91, 0.75]]","[0.75, 0.75]"
antorsae.ta_5_3,0.27,0.72,0.02,0.37,"[0.27, 0.27]","[[0.42, 0.27], [0.27, 0.73]]","[0.42, 0.73]"
alex.naka.charizard,0.88,0.78,0.02,0.87,"[0.88, 0.88]","[[0.54, 0.88], [0.88, 0.77]]","[0.54, 0.77]"
amirm.mhosseini.seq9,0.82,0.69,0.02,0.8,"[0.82, 0.82]","[[0.63, 0.82], [0.82, 0.69]]","[0.63, 0.69]"
klima.jason.8hgo_design_94eja_1_5,0.11,0.63,0.05,0.24,"[0.11, 0.11]","[[0.31, 0.11], [0.11, 0.71]]","[0.31, 0.71]"
toluwase.fatoki.toluwase_sequence3_119,0.16,0.66,0.07,0.29,"[0.16, 0.16]","[[0.14, 0.16], [0.16, 0.74]]","[0.14, 0.74]"
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,0.94,0.77,0.02,0.92,"[0.94, 0.94]","[[0.86, 0.94], [0.94, 0.75]]","[0.86, 0.75]"
noah.holzleitner.noah_egfr-binder_3,0.94,0.78,0.02,0.91,"[0.94, 0.94]","[[0.74, 0.94], [0.94, 0.77]]","[0.74, 0.77]"
pastei5.egfr_binder_01,0.23,0.68,0.04,0.34,"[0.23, 0.23]","[[0.56, 0.23], [0.23, 0.73]]","[0.56, 0.73]"
paulafcfranklin.synth_rosetta_7,0.91,0.73,0.03,0.89,"[0.91, 0.91]","[[0.66, 0.91], [0.91, 0.71]]","[0.66, 0.71]"
fernando.meireles.design_hybrid_partial_diff_4_31_binder,0.23,0.63,0.02,0.32,"[0.23, 0.23]","[[0.48, 0.23], [0.23, 0.69]]","[0.48, 0.69]"
a.tucs.andrejs_tucs_seq7,0.88,0.72,0.02,0.86,"[0.88, 0.88]","[[0.64, 0.88], [0.88, 0.71]]","[0.64, 0.71]"
biolucasmachado.engineered_binder_3,0.85,0.74,0.02,0.84,"[0.85, 0.85]","[[0.63, 0.85], [0.85, 0.73]]","[0.63, 0.73]"
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,0.93,0.75,0.02,0.91,"[0.93, 0.93]","[[0.8, 0.93], [0.93, 0.73]]","[0.8, 0.73]"
aureliabustos.wt_noised_i_scaffold_shorted_var71,0.93,0.75,0.03,0.91,"[0.93, 0.93]","[[0.67, 0.93], [0.93, 0.73]]","[0.67, 0.73]"
tadej.satler.egfr_binder_3,0.84,0.74,0.02,0.83,"[0.84, 0.84]","[[0.85, 0.84], [0.84, 0.73]]","[0.85, 0.73]"
aswini.seed2_3,0.24,0.71,0.02,0.34,"[0.24, 0.24]","[[0.35, 0.24], [0.24, 0.74]]","[0.35, 0.74]"
a.tucs.andrejs_tucs_seq2,0.91,0.69,0.02,0.87,"[0.91, 0.91]","[[0.65, 0.91], [0.91, 0.67]]","[0.65, 0.67]"
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,0.94,0.78,0.02,0.91,"[0.94, 0.94]","[[0.79, 0.94], [0.94, 0.77]]","[0.79, 0.77]"
binom16.pocket7pep80,0.29,0.76,0.05,0.41,"[0.29, 0.29]","[[0.01, 0.29], [0.29, 0.77]]","[0.01, 0.77]"
binom16.pocket1pep15,0.46,0.76,0.04,0.54,"[0.46, 0.46]","[[0.02, 0.46], [0.46, 0.77]]","[0.02, 0.77]"
s1995825.cotimed_egf_netsolp_usability_4,0.9,0.75,0.03,0.88,"[0.9, 0.9]","[[0.65, 0.9], [0.9, 0.73]]","[0.65, 0.73]"
elian.elian5,0.9,0.78,0.02,0.88,"[0.9, 0.9]","[[0.72, 0.9], [0.9, 0.76]]","[0.72, 0.76]"
martin.egfr_l142_s75963_mpnn1,0.6,0.67,0.04,0.63,"[0.6, 0.6]","[[0.7, 0.6], [0.6, 0.7]]","[0.7, 0.7]"
praghava531.seq2,0.17,0.58,0.02,0.26,"[0.17, 0.17]","[[0.86, 0.17], [0.17, 0.65]]","[0.86, 0.65]"
hughy.4krp_b_a_89_rnd3_full,0.13,0.61,0.02,0.24,"[0.13, 0.13]","[[0.81, 0.13], [0.13, 0.69]]","[0.81, 0.69]"
a.tucs.andrejs_tucs_seq10,0.88,0.75,0.03,0.87,"[0.88, 0.88]","[[0.65, 0.88], [0.88, 0.74]]","[0.65, 0.74]"
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,0.91,0.75,0.02,0.89,"[0.91, 0.91]","[[0.75, 0.91], [0.91, 0.73]]","[0.75, 0.73]"
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,0.92,0.75,0.02,0.9,"[0.92, 0.92]","[[0.79, 0.92], [0.92, 0.73]]","[0.79, 0.73]"
hughy.7om4_b_a_180_rnd1_v1_full,0.39,0.66,0.02,0.45,"[0.39, 0.39]","[[0.82, 0.39], [0.39, 0.71]]","[0.82, 0.71]"
alan.blakely.12_6,0.7,0.71,0.06,0.74,"[0.7, 0.7]","[[0.55, 0.7], [0.7, 0.74]]","[0.55, 0.74]"
minji.lee.386,0.2,0.67,0.02,0.3,"[0.2, 0.2]","[[0.73, 0.2], [0.2, 0.72]]","[0.73, 0.72]"
revoli.mutated_nab_5,0.12,0.61,0.02,0.22,"[0.12, 0.12]","[[0.83, 0.12], [0.12, 0.68]]","[0.83, 0.68]"
allongoldberg.4_44,0.2,0.62,0.02,0.29,"[0.2, 0.2]","[[0.46, 0.2], [0.2, 0.7]]","[0.46, 0.7]"
tadaskluonis.cotimed_egf_bcseq_0,0.89,0.76,0.02,0.87,"[0.89, 0.89]","[[0.65, 0.89], [0.89, 0.75]]","[0.65, 0.75]"
biolucasmachado.engineered_binder_1,0.48,0.71,0.03,0.55,"[0.48, 0.48]","[[0.55, 0.48], [0.48, 0.75]]","[0.55, 0.75]"
kerrding.seq7,0.84,0.71,0.03,0.83,"[0.84, 0.84]","[[0.63, 0.84], [0.84, 0.7]]","[0.63, 0.7]"
duynth29.l148_mpnn1,0.87,0.76,0.02,0.86,"[0.87, 0.87]","[[0.78, 0.87], [0.87, 0.73]]","[0.78, 0.73]"
hughy.7om4_b_a_17_rnd2_v2_full,0.12,0.63,0.02,0.23,"[0.12, 0.12]","[[0.82, 0.12], [0.12, 0.71]]","[0.82, 0.71]"
spacecruiser42.d2_prompt_binder_t1.0_37,0.33,0.77,0.05,0.44,"[0.33, 0.33]","[[0.01, 0.33], [0.33, 0.78]]","[0.01, 0.78]"
martin.egfr_l177_s77884_mpnn7,0.26,0.58,0.03,0.34,"[0.26, 0.26]","[[0.79, 0.26], [0.26, 0.67]]","[0.79, 0.67]"
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,0.15,0.59,0.04,0.25,"[0.15, 0.15]","[[0.21, 0.15], [0.15, 0.71]]","[0.21, 0.71]"
chrisxushaoyong.hu_nano1_5_559c85,0.2,0.63,0.02,0.3,"[0.2, 0.2]","[[0.84, 0.2], [0.2, 0.7]]","[0.84, 0.7]"
paulafcfranklin.synth_rosetta_8,0.88,0.73,0.04,0.86,"[0.88, 0.88]","[[0.64, 0.88], [0.88, 0.71]]","[0.64, 0.71]"
mlange05.b,0.82,0.77,0.01,0.82,"[0.82, 0.82]","[[0.8, 0.82], [0.82, 0.76]]","[0.8, 0.76]"
antorsae.ta_5_1,0.89,0.76,0.02,0.87,"[0.89, 0.89]","[[0.51, 0.89], [0.89, 0.75]]","[0.51, 0.75]"
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,0.21,0.64,0.02,0.3,"[0.21, 0.21]","[[0.8, 0.21], [0.21, 0.71]]","[0.8, 0.71]"
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,0.18,0.7,0.09,0.33,"[0.18, 0.18]","[[0.35, 0.18], [0.18, 0.74]]","[0.35, 0.74]"
chuh.egfr_seg1_l58_s941869_mpnn2,0.95,0.75,0.02,0.92,"[0.95, 0.95]","[[0.77, 0.95], [0.95, 0.73]]","[0.77, 0.73]"
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,0.87,0.8,0.02,0.87,"[0.87, 0.87]","[[0.86, 0.87], [0.87, 0.76]]","[0.86, 0.76]"
jakublala.epitope_1_30aa.pdb,0.8,0.75,0.04,0.81,"[0.8, 0.8]","[[0.42, 0.8], [0.8, 0.74]]","[0.42, 0.74]"
paulafcfranklin.synth_rosetta_10,0.87,0.73,0.04,0.86,"[0.87, 0.87]","[[0.64, 0.87], [0.87, 0.71]]","[0.64, 0.71]"
a.tucs.andrejs_tucs_seq9,0.9,0.73,0.02,0.88,"[0.9, 0.9]","[[0.65, 0.9], [0.9, 0.71]]","[0.65, 0.71]"
chuh.egfr_seg2_l62_s244475_mpnn4,0.93,0.78,0.02,0.9,"[0.93, 0.93]","[[0.76, 0.93], [0.93, 0.76]]","[0.76, 0.76]"
zalavi.zalavi3_ggg_shortpacesa,0.52,0.61,0.02,0.55,"[0.52, 0.52]","[[0.65, 0.52], [0.52, 0.66]]","[0.65, 0.66]"
paulafcfranklin.synth_rosetta_5,0.87,0.74,0.04,0.87,"[0.87, 0.87]","[[0.65, 0.87], [0.87, 0.72]]","[0.65, 0.72]"
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,0.86,0.72,0.02,0.85,"[0.86, 0.86]","[[0.63, 0.86], [0.86, 0.7]]","[0.63, 0.7]"
julian.faust.pimurutamab_mpnn_18_scfv,0.85,0.79,0.04,0.86,"[0.85, 0.85]","[[0.85, 0.85], [0.85, 0.75]]","[0.85, 0.75]"
dre.lgdl_egfr_008,0.15,0.74,0.07,0.3,"[0.15, 0.15]","[[0.08, 0.15], [0.15, 0.78]]","[0.08, 0.78]"
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,0.56,0.66,0.04,0.6,"[0.56, 0.56]","[[0.44, 0.56], [0.56, 0.73]]","[0.44, 0.73]"
markus.braun.egfr_binder_3,0.93,0.79,0.01,0.91,"[0.93, 0.93]","[[0.88, 0.93], [0.93, 0.73]]","[0.88, 0.73]"
mosquitolkfo.nab_design_7,0.89,0.8,0.02,0.88,"[0.89, 0.89]","[[0.85, 0.89], [0.89, 0.76]]","[0.85, 0.76]"
klima.jason.8hgo_design_vdcjs_1_2,0.16,0.65,0.02,0.27,"[0.16, 0.16]","[[0.34, 0.16], [0.16, 0.72]]","[0.34, 0.72]"
allongoldberg.3_52,0.2,0.67,0.02,0.3,"[0.2, 0.2]","[[0.39, 0.2], [0.2, 0.71]]","[0.39, 0.71]"
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,0.85,0.79,0.03,0.86,"[0.85, 0.85]","[[0.85, 0.85], [0.85, 0.76]]","[0.85, 0.76]"
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,0.93,0.78,0.02,0.91,"[0.93, 0.93]","[[0.76, 0.93], [0.93, 0.77]]","[0.76, 0.77]"
qilin_y.test8,0.21,0.76,0.06,0.35,"[0.21, 0.21]","[[0.17, 0.21], [0.21, 0.78]]","[0.17, 0.78]"
spacecruiser42.d2_prompt_binder_t1.0_139,0.23,0.75,0.05,0.36,"[0.23, 0.23]","[[0.05, 0.23], [0.23, 0.77]]","[0.05, 0.77]"
biolucasmachado.engineered_binder_9,0.57,0.58,0.02,0.59,"[0.57, 0.57]","[[0.6, 0.57], [0.57, 0.59]]","[0.6, 0.59]"
darius.szablowski.egfr_binder_1___top_binder_1,0.88,0.76,0.02,0.86,"[0.88, 0.88]","[[0.79, 0.88], [0.88, 0.75]]","[0.79, 0.75]"
lhallee.lhallee_128_driveid_1_2,0.15,0.66,0.18,0.35,"[0.15, 0.15]","[[0.11, 0.15], [0.15, 0.74]]","[0.11, 0.74]"
alessio.daddio.ad_4,0.92,0.77,0.02,0.9,"[0.92, 0.92]","[[0.72, 0.92], [0.92, 0.76]]","[0.72, 0.76]"
aswini.clipgen30,0.18,0.7,0.04,0.31,"[0.18, 0.18]","[[0.23, 0.18], [0.18, 0.73]]","[0.23, 0.73]"
alessio.daddio.ad_9,0.89,0.79,0.02,0.88,"[0.89, 0.89]","[[0.85, 0.89], [0.89, 0.75]]","[0.85, 0.75]"
zhoup1366.dbz1___a,0.12,0.6,0.02,0.23,"[0.12, 0.12]","[[0.84, 0.12], [0.12, 0.68]]","[0.84, 0.68]"
cameron.kroll.leitner,0.89,0.77,0.02,0.88,"[0.89, 0.89]","[[0.86, 0.89], [0.89, 0.73]]","[0.86, 0.73]"
gitter.yolo23,0.9,0.76,0.02,0.88,"[0.9, 0.9]","[[0.65, 0.9], [0.9, 0.76]]","[0.65, 0.76]"
biolucasmachado.engineered_binder_8,0.82,0.75,0.04,0.83,"[0.82, 0.82]","[[0.65, 0.82], [0.82, 0.74]]","[0.65, 0.74]"
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,0.91,0.77,0.02,0.89,"[0.91, 0.91]","[[0.81, 0.91], [0.91, 0.75]]","[0.81, 0.75]"
chrisxushaoyong.hu_nano2_4_85252b,0.69,0.72,0.02,0.7,"[0.69, 0.69]","[[0.84, 0.69], [0.69, 0.74]]","[0.84, 0.74]"
mosquitolkfo.nab_design_9,0.82,0.77,0.02,0.82,"[0.82, 0.82]","[[0.84, 0.82], [0.82, 0.75]]","[0.84, 0.75]"
eceiiitn786.8s2,0.15,0.7,0.02,0.27,"[0.15, 0.15]","[[0.31, 0.15], [0.15, 0.74]]","[0.31, 0.74]"
mlange05.a,0.3,0.58,0.01,0.36,"[0.3, 0.3]","[[0.77, 0.3], [0.3, 0.68]]","[0.77, 0.68]"
z_peplib.pepseq_design_8,0.21,0.7,0.05,0.34,"[0.21, 0.21]","[[0.22, 0.21], [0.21, 0.74]]","[0.22, 0.74]"
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,0.16,0.73,0.08,0.31,"[0.16, 0.16]","[[0.11, 0.16], [0.16, 0.76]]","[0.11, 0.76]"
chrisxushaoyong.hu_nano1_1_ff3e18,0.17,0.63,0.02,0.27,"[0.17, 0.17]","[[0.81, 0.17], [0.17, 0.71]]","[0.81, 0.71]"
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,0.18,0.57,0.01,0.26,"[0.18, 0.18]","[[0.35, 0.18], [0.18, 0.71]]","[0.35, 0.71]"
nhaas.2,0.19,0.57,0.03,0.28,"[0.19, 0.19]","[[0.84, 0.19], [0.19, 0.7]]","[0.84, 0.7]"
noah.holzleitner.noah_egfr-binder_2,0.95,0.79,0.02,0.93,"[0.95, 0.95]","[[0.77, 0.95], [0.95, 0.77]]","[0.77, 0.77]"
briannaughton.2_plus_2,0.53,0.65,0.06,0.58,"[0.53, 0.53]","[[0.39, 0.53], [0.53, 0.74]]","[0.39, 0.74]"
qxy615.s1_rfd_comp_beta_782_81,0.4,0.65,0.02,0.46,"[0.4, 0.4]","[[0.7, 0.4], [0.4, 0.7]]","[0.7, 0.7]"
carson.vaux.baker1_18,0.79,0.73,0.02,0.79,"[0.79, 0.79]","[[0.75, 0.79], [0.79, 0.74]]","[0.75, 0.74]"
alex.naka.charmander,0.9,0.75,0.03,0.88,"[0.9, 0.9]","[[0.66, 0.9], [0.9, 0.73]]","[0.66, 0.73]"
jakublala.epitope_2_30aa_1.pdb,0.18,0.74,0.06,0.32,"[0.18, 0.18]","[[0.19, 0.18], [0.18, 0.76]]","[0.19, 0.76]"
julian.faust.demupitamab_mpnn_19_scfv,0.82,0.78,0.04,0.83,"[0.82, 0.82]","[[0.84, 0.82], [0.82, 0.75]]","[0.84, 0.75]"
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,0.89,0.82,0.04,0.9,"[0.89, 0.89]","[[0.61, 0.89], [0.89, 0.81]]","[0.61, 0.81]"
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,0.89,0.77,0.02,0.88,"[0.89, 0.89]","[[0.55, 0.89], [0.89, 0.76]]","[0.55, 0.76]"
alex.naka.wartortle,0.88,0.73,0.03,0.86,"[0.88, 0.88]","[[0.64, 0.88], [0.88, 0.71]]","[0.64, 0.71]"
salireza111.seq119_3_001_8,0.22,0.68,0.02,0.32,"[0.22, 0.22]","[[0.58, 0.22], [0.22, 0.72]]","[0.58, 0.72]"
karmanyaaggarwal.ds004729,0.38,0.64,0.02,0.44,"[0.38, 0.38]","[[0.86, 0.38], [0.38, 0.7]]","[0.86, 0.7]"
jakublala.full_dibinder_45aa_2.pdb,0.48,0.74,0.06,0.57,"[0.48, 0.48]","[[0.32, 0.48], [0.48, 0.75]]","[0.32, 0.75]"
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,0.14,0.57,0.01,0.23,"[0.14, 0.14]","[[0.61, 0.14], [0.14, 0.67]]","[0.61, 0.67]"
salireza111.seq166_1_001_7,0.44,0.71,0.02,0.5,"[0.44, 0.44]","[[0.54, 0.44], [0.44, 0.72]]","[0.54, 0.72]"
colby.tupegfr_006___anti-egfr_fv-like_protein_diffused_with_evodiff,0.22,0.58,0.02,0.3,"[0.22, 0.22]","[[0.46, 0.22], [0.22, 0.71]]","[0.46, 0.71]"
duynth29.duy_l111_mpnn14,0.93,0.77,0.02,0.91,"[0.93, 0.93]","[[0.84, 0.93], [0.93, 0.75]]","[0.84, 0.75]"
alex.naka.squirtle,0.88,0.75,0.02,0.86,"[0.88, 0.88]","[[0.63, 0.88], [0.88, 0.73]]","[0.63, 0.73]"
zalavi.shortrustamov_ggg_zalavi3,0.63,0.7,0.03,0.66,"[0.63, 0.63]","[[0.63, 0.63], [0.63, 0.7]]","[0.63, 0.7]"
zulfatmi.pocket7pep42,0.71,0.77,0.04,0.74,"[0.71, 0.71]","[[0.02, 0.71], [0.71, 0.78]]","[0.02, 0.78]"
karmanyaaggarwal.ds002542,0.77,0.73,0.02,0.77,"[0.77, 0.77]","[[0.87, 0.77], [0.77, 0.74]]","[0.87, 0.74]"
ali.rasouli.intern.model_77_142_3,0.78,0.74,0.02,0.79,"[0.78, 0.78]","[[0.62, 0.78], [0.78, 0.75]]","[0.62, 0.75]"
tarkhov.andrey.erithacus_rubecula_gigantus_9,0.15,0.58,0.04,0.26,"[0.15, 0.15]","[[0.35, 0.15], [0.15, 0.72]]","[0.35, 0.72]"
hughy.7om4_b_a_33_rnd2_v2_full,0.11,0.63,0.02,0.22,"[0.11, 0.11]","[[0.84, 0.11], [0.11, 0.71]]","[0.84, 0.71]"
elian.elian4,0.91,0.78,0.02,0.89,"[0.91, 0.91]","[[0.76, 0.91], [0.91, 0.76]]","[0.76, 0.76]"
akash.arunabharathi.design9,0.11,0.59,0.23,0.32,"[0.11, 0.11]","[[0.24, 0.11], [0.11, 0.73]]","[0.24, 0.73]"
toluwase.fatoki.toluwase_sequence4_148,0.24,0.64,0.04,0.34,"[0.24, 0.24]","[[0.2, 0.24], [0.24, 0.73]]","[0.2, 0.73]"
a.tucs.andrejs_tucs_seq1,0.92,0.75,0.02,0.9,"[0.92, 0.92]","[[0.64, 0.92], [0.92, 0.74]]","[0.64, 0.74]"
briannaughton.egfr_plus_egfr,0.3,0.65,0.07,0.41,"[0.3, 0.3]","[[0.34, 0.3], [0.3, 0.71]]","[0.34, 0.71]"
s1995825.timed_egf_netsolp_usability_consensus_1,0.87,0.74,0.03,0.86,"[0.87, 0.87]","[[0.65, 0.87], [0.87, 0.73]]","[0.65, 0.73]"
lennart.nickel.egfr_l139_s63093_mpnn2,0.28,0.61,0.02,0.35,"[0.28, 0.28]","[[0.77, 0.28], [0.28, 0.69]]","[0.77, 0.69]"
silvia.toscani.b_egfr_6,0.22,0.65,0.02,0.31,"[0.22, 0.22]","[[0.69, 0.22], [0.22, 0.7]]","[0.69, 0.7]"
mosquitolkfo.nab_design_6,0.79,0.76,0.02,0.79,"[0.79, 0.79]","[[0.83, 0.79], [0.79, 0.75]]","[0.83, 0.75]"
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_chain_a,0.88,0.77,0.02,0.87,"[0.88, 0.88]","[[0.82, 0.88], [0.88, 0.75]]","[0.82, 0.75]"
martin.egfr_l111_s89744_mpnn1,0.65,0.71,0.02,0.67,"[0.65, 0.65]","[[0.7, 0.65], [0.65, 0.73]]","[0.7, 0.73]"
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,0.2,0.57,0.04,0.3,"[0.2, 0.2]","[[0.8, 0.2], [0.2, 0.71]]","[0.8, 0.71]"
noah.holzleitner.noah_egfr-binder_8,0.87,0.75,0.02,0.86,"[0.87, 0.87]","[[0.73, 0.87], [0.87, 0.75]]","[0.73, 0.75]"
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,0.93,0.74,0.02,0.91,"[0.93, 0.93]","[[0.67, 0.93], [0.93, 0.72]]","[0.67, 0.72]"
xiuming_li2015.eureka_seq_3,0.86,0.79,0.03,0.86,"[0.86, 0.86]","[[0.86, 0.86], [0.86, 0.76]]","[0.86, 0.76]"
