complex,AF3_binder_Interface_size,OF3_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,OF3_Target_interface_size,target_jaccard,design_class,binding,binding_strength
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,21,56,0.203125,25,88,0.1530612244897959,Other,False,
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_chain_a,22,51,0.1587301587301587,27,91,0.2164948453608247,Other,False,
maxall4.egfr_trim_l126_s498823_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_l39g_round1_chain_a,26,32,0.1836734693877551,30,54,0.3333333333333333,Other,False,
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,20,33,0.0816326530612244,26,55,0.2461538461538461,Other,False,
merlettaia.seq0v3,32,50,0.1884057971014492,33,89,0.0166666666666666,Nanobody,False,
merlettaia.seq0v4,15,66,0.1095890410958904,19,102,0.09009009009009,Nanobody,False,
merlettaia.seq52v3,14,62,0.0704225352112676,25,101,0.008,Nanobody,False,
merlettaia.seq6v4,9,59,0.1525423728813559,10,100,0.1,Nanobody,False,
merlettaia.seq70v3,20,49,0.1129032258064516,21,79,0.1764705882352941,Nanobody,False,
minji.lee.111,31,29,0.3043478260869565,31,69,0.0,Miniprotein,False,
minji.lee.3458,15,38,0.2325581395348837,17,77,0.0,Other,False,
minji.lee.386,12,32,0.1282051282051282,11,66,0.0,Miniprotein,False,
minji.lee.3995,12,43,0.1458333333333333,18,83,0.1098901098901098,Miniprotein,False,
minji.lee.459,18,23,0.1714285714285714,19,45,0.1428571428571428,Miniprotein,False,
mlange05.a,27,59,0.131578947368421,25,93,0.1919191919191919,Other,False,
mlange05.b,31,72,0.1704545454545454,31,118,0.192,Other,False,
mlange05.c,15,77,0.0454545454545454,23,116,0.1300813008130081,Other,False,
mosquitolkfo.nab_design_1,19,55,0.088235294117647,26,95,0.0254237288135593,Nanobody,False,
mosquitolkfo.nab_design_3,19,68,0.1298701298701298,26,105,0.0076923076923076,Nanobody,True,Weak
mosquitolkfo.nab_design_6,18,55,0.106060606060606,27,100,0.0,Nanobody,False,
mosquitolkfo.nab_design_7,19,60,0.1285714285714285,24,102,0.0,Nanobody,False,
mosquitolkfo.nab_design_9,20,54,0.088235294117647,27,86,0.0089285714285714,Nanobody,False,
nhaas.2,25,59,0.2,27,65,0.0952380952380952,scFv,False,
nhaas.3,21,56,0.0266666666666666,29,65,0.1325301204819277,scFv,False,
nhaas.4,22,52,0.1212121212121212,25,75,0.1363636363636363,scFv,False,
nhaas.6,17,79,0.0786516853932584,18,99,0.0086206896551724,scFv,False,
nhaas.8,25,71,0.1162790697674418,24,96,0.1214953271028037,scFv,False,
nicholas-schnicker.schnick_04,21,27,0.1162790697674418,25,45,0.3461538461538461,Other,False,
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,20,59,0.144927536231884,26,99,0.1261261261261261,Other,False,
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,14,42,0.1666666666666666,15,75,0.125,Other,False,
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,16,45,0.173076923076923,16,83,0.1647058823529411,Other,False,
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,26,42,0.3333333333333333,29,84,0.2840909090909091,Miniprotein,False,
niklas.ee4629a9-322f-48f0-884d-8f4418db9bce_l151_s241659642_mpnn11,35,72,0.3544303797468354,38,118,0.2093023255813953,Other,False,
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,16,24,0.1111111111111111,17,46,0.0862068965517241,Peptide,False,
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,17,35,0.1818181818181818,24,70,0.2368421052631578,Peptide,False,
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,17,23,0.1428571428571428,24,46,0.3461538461538461,Peptide,False,
noah.holzleitner.noah_egfr-binder_1,21,34,0.3414634146341463,28,70,0.2727272727272727,Miniprotein,False,
noah.holzleitner.noah_egfr-binder_2,21,30,0.2439024390243902,29,67,0.1707317073170731,Miniprotein,False,
noah.holzleitner.noah_egfr-binder_3,23,36,0.3111111111111111,29,80,0.1978021978021978,Miniprotein,False,
noah.holzleitner.noah_egfr-binder_4,16,31,0.3055555555555556,18,47,0.0,Miniprotein,False,
noah.holzleitner.noah_egfr-binder_8,23,36,0.2826086956521739,29,74,0.3205128205128205,Miniprotein,False,
pastei5.egfr_binder_01,19,21,0.1764705882352941,16,56,0.0,Peptide,False,
paulafcfranklin.synth_rosetta_1,34,27,0.3555555555555555,42,44,0.4827586206896552,Peptide,True,Weak
paulafcfranklin.synth_rosetta_10,36,27,0.3404255319148936,43,60,0.5373134328358209,Peptide,False,
paulafcfranklin.synth_rosetta_2,33,29,0.3777777777777777,41,60,0.4428571428571428,Peptide,False,
paulafcfranklin.synth_rosetta_3,35,24,0.4390243902439024,42,51,0.5,Peptide,False,
paulafcfranklin.synth_rosetta_4,35,31,0.5714285714285714,39,67,0.3947368421052631,Peptide,False,
paulafcfranklin.synth_rosetta_5,33,30,0.3404255319148936,43,65,0.3333333333333333,Peptide,False,
paulafcfranklin.synth_rosetta_6,36,21,0.2954545454545454,42,38,0.4545454545454545,Peptide,False,
paulafcfranklin.synth_rosetta_7,36,21,0.3255813953488372,39,37,0.6521739130434783,Peptide,False,
paulafcfranklin.synth_rosetta_8,34,27,0.3260869565217391,44,64,0.6363636363636364,Peptide,False,
paulafcfranklin.synth_rosetta_9,34,31,0.5853658536585366,42,60,0.3421052631578947,Peptide,False,
praghava531.seq2,13,38,0.0625,15,75,0.1688311688311688,Other,False,
qilin_y.test4,14,33,0.2368421052631578,18,51,0.0,Miniprotein,False,
qilin_y.test5,18,38,0.1914893617021276,23,59,0.2058823529411764,Miniprotein,False,
qilin_y.test6,22,53,0.25,17,90,0.1630434782608695,Other,False,
qilin_y.test7,11,19,0.2,21,35,0.12,Peptide,False,
qilin_y.test8,8,15,0.2105263157894736,12,30,0.0,Peptide,False,
qxy615.s1_rfd_base_46_60,15,30,0.1538461538461538,16,62,0.0,Miniprotein,False,
qxy615.s1_rfd_base_46_94,19,28,0.4242424242424242,24,63,0.2428571428571428,Miniprotein,False,
qxy615.s1_rfd_comp_beta_782_81,13,38,0.1860465116279069,19,66,0.25,Miniprotein,False,
qy.qilin.yu.10-13-21_sample267_complex_42_complex,19,30,0.1666666666666666,24,56,0.1594202898550724,Peptide,False,
revoli.mutated_nab_5,34,66,0.1904761904761904,41,109,0.1029411764705882,Nanobody,False,
revoli.mutated_nab_8,40,66,0.358974358974359,47,117,0.0933333333333333,Nanobody,False,
revoli.mutated_nab_9,35,45,0.2307692307692307,38,87,0.1363636363636363,Nanobody,False,
rohith.mohan.model_67_69_2,22,26,0.4117647058823529,25,44,0.38,Miniprotein,False,
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,23,77,0.1235955056179775,23,98,0.110091743119266,scFv,True,Strong
s1995825.cotimed_egf_netsolp_usability_1,32,22,0.35,39,55,0.46875,Peptide,False,
s1995825.cotimed_egf_netsolp_usability_2,32,21,0.4722222222222222,39,46,0.4406779661016949,Peptide,False,
s1995825.cotimed_egf_netsolp_usability_3,32,18,0.3888888888888889,39,36,0.5,Peptide,False,
s1995825.cotimed_egf_netsolp_usability_4,33,16,0.2564102564102564,38,37,0.6304347826086957,Peptide,False,
s1995825.cotimed_egf_netsolp_usability_5,33,17,0.3888888888888889,37,39,0.5510204081632653,Peptide,True,Weak
s1995825.cotimed_egf_netsolp_usability_6,32,22,0.35,37,31,0.5111111111111111,Peptide,False,
s1995825.cotimed_egf_netsolp_usability_7,25,28,0.325,22,66,0.0,Peptide,False,
s1995825.cotimed_egf_netsolp_usability_8,32,25,0.3902439024390244,38,40,0.5294117647058824,Peptide,False,
s1995825.timed_egf_netsolp_usability_consensus_1,32,19,0.4166666666666667,38,37,0.5306122448979592,Peptide,False,
s1995825.timed_egf_netsolp_usability_consensus_2,32,16,0.2972972972972973,37,32,0.4680851063829787,Peptide,False,
salireza111.seq119_3_001_8,14,29,0.2647058823529412,15,57,0.0,Miniprotein,False,
salireza111.seq166_1_001_7,17,25,0.5,18,52,0.1864406779661017,Miniprotein,False,
salireza111.seq166_3_002_4,15,26,0.3666666666666666,19,58,0.1666666666666666,Miniprotein,False,
salireza111.seq166_7_003_9,17,24,0.3666666666666666,18,52,0.25,Miniprotein,False,
salireza111.seq206_1_001_6,22,23,0.3235294117647059,22,44,0.2222222222222222,Peptide,False,
silvia.toscani.b_egfr_6,21,30,0.108695652173913,27,60,0.1756756756756756,Miniprotein,False,
spacecruiser42.d2_prompt_binder_t0.8_42,10,14,0.6,15,31,0.2777777777777778,Miniprotein,False,
spacecruiser42.d2_prompt_binder_t0.8_88,11,13,0.5,15,26,0.5185185185185185,Miniprotein,False,
spacecruiser42.d2_prompt_binder_t1.0_139,15,16,0.631578947368421,22,37,0.0,Miniprotein,False,
spacecruiser42.d2_prompt_binder_t1.0_22,13,12,0.5625,20,27,0.3823529411764705,Miniprotein,False,
spacecruiser42.d2_prompt_binder_t1.0_37,11,15,0.5294117647058824,20,33,0.0,Miniprotein,False,
ssomani.17,16,64,0.1428571428571428,16,90,0.1648351648351648,Other,False,
stocco.filippo.1.3.3.18_13_0_iteration12_1.0279718223732435,14,23,0.3703703703703703,22,40,0.3777777777777777,Peptide,False,
stocco.filippo.1.3.3.18_37_0_iteration3_1.024851931427025,15,21,0.2857142857142857,21,39,0.3953488372093023,Peptide,False,
stocco.filippo.1.3.3.18_40_0_iteration12_1.0321554292304749,35,22,0.3902439024390244,42,43,0.6346153846153846,Peptide,True,Medium
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,36,35,0.5777777777777777,40,71,0.3703703703703703,Peptide,True,Medium
stocco.filippo.1.3.3.18_51_2_iteration3_1.0356664070457622,32,23,0.3095238095238095,41,45,0.6538461538461539,Peptide,False,
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,33,22,0.2222222222222222,43,42,0.6346153846153846,Peptide,True,Medium
tadaskluonis.cotimed_egf_bcseq_0,30,25,0.375,39,61,0.4285714285714285,Peptide,False,
tadaskluonis.cotimed_egf_bcseq_1,33,26,0.5945945945945946,39,49,0.6296296296296297,Peptide,False,
tadaskluonis.cotimed_egf_bcseq_2,33,23,0.5135135135135135,40,48,0.3968253968253968,Peptide,False,
tadej.satler.egfr_binder_3,31,52,0.2205882352941176,26,96,0.2079207920792079,Other,False,
tarkhov.andrey.erithacus_rubecula_gigantus_1,27,79,0.06,27,100,0.0854700854700854,Other,False,
tarkhov.andrey.erithacus_rubecula_gigantus_4,25,90,0.055045871559633,35,118,0.2439024390243902,Other,False,
tarkhov.andrey.erithacus_rubecula_gigantus_7,26,60,0.048780487804878,37,89,0.2475247524752475,Other,False,
tarkhov.andrey.erithacus_rubecula_gigantus_8,33,84,0.1818181818181818,32,103,0.134453781512605,Other,False,
tarkhov.andrey.erithacus_rubecula_gigantus_9,16,87,0.0404040404040404,19,121,0.1570247933884297,Other,False,
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,32,26,0.5263157894736842,48,61,0.3132530120481928,Miniprotein,False,
tim.silica_corpora_regions_sampled_epitope_0_generated_variant_6_rank_7_phase_2,11,48,0.0925925925925925,12,78,0.0975609756097561,Nanobody,False,
tim.silica_corpora_regions_sampled_epitope_2_generated_variant_8_rank_3_phase_2,33,51,0.1830985915492957,33,86,0.043859649122807,Nanobody,False,
tim.silica_corpora_sampled_epitope_0_generated_variant_1_rank_8_phase_2,21,45,0.1785714285714285,17,96,0.0865384615384615,Nanobody,False,
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,21,51,0.0909090909090909,20,86,0.1397849462365591,Nanobody,False,
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,19,62,0.125,24,95,0.1666666666666666,Nanobody,False,
toluwase.fatoki.toluwase_sequence3_119,10,49,0.0925925925925925,14,97,0.1326530612244898,Other,False,
toluwase.fatoki.toluwase_sequence4_148,28,59,0.0875,27,90,0.1818181818181818,Other,False,
toluwase.fatoki.toluwase_sequence6_112,21,47,0.1147540983606557,23,96,0.0,Other,False,
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,20,23,0.3870967741935484,23,62,0.1486486486486486,Miniprotein,False,
x.rustamov.p_vhh_partial_1_32,16,26,0.2352941176470588,19,46,0.0,Nanobody,False,
x.rustamov.traj_11_8_model_5_0,23,51,0.2333333333333333,22,94,0.0357142857142857,Nanobody,False,
x.rustamov.traj_4_8_model_1_5,24,38,0.2156862745098039,28,81,0.048076923076923,Nanobody,False,
x.rustamov.traj_6_1_model_1_8,24,49,0.2807017543859649,23,97,0.0084033613445378,Nanobody,False,
x.rustamov.traj_9_8_model_1_0,14,53,0.2181818181818181,18,101,0.0,Nanobody,False,
xiuming_li2015.eureka_seq_1,21,57,0.1304347826086956,24,87,0.1808510638297872,scFv,False,
xiuming_li2015.eureka_seq_3,23,65,0.0864197530864197,23,89,0.1546391752577319,scFv,False,
xiuming_li2015.eureka_seq_4,21,81,0.0625,23,102,0.1061946902654867,scFv,False,
youngsuko2000.fast4,37,30,0.4888888888888889,42,76,0.4047619047619047,Peptide,False,
youngsuko2000.last,38,38,0.3818181818181818,48,71,0.367816091954023,Peptide,False,
youngsuko2000.queen,37,33,0.4,45,67,0.3176470588235294,Peptide,True,Medium
z_peplib.pepseq_design_6,13,27,0.3333333333333333,22,42,0.3617021276595745,Peptide,False,
z_peplib.pepseq_design_8,11,26,0.2333333333333333,16,71,0.0,Miniprotein,False,
z_peplib.pepseq_design_9,19,27,0.3939393939393939,33,63,0.0,Peptide,False,
zalavi.shortrustamov_ggg_zalavi3,54,66,0.25,58,97,0.3716814159292035,Other,False,
zalavi.zalavi3_ggg_shortpacesa,27,88,0.1386138613861386,26,122,0.1746031746031746,Other,False,
zalavi.zalavi3_mergedaltered_rustamov,53,61,0.2258064516129032,59,87,0.3904761904761905,Other,False,
zhoup1366.dbz1___a,19,47,0.0153846153846153,16,87,0.1573033707865168,Nanobody,False,
zhoup1366.dbz10___a,17,37,0.1020408163265306,17,72,0.0,Nanobody,False,
zhoup1366.dbz6___a,16,52,0.0793650793650793,19,90,0.1720430107526881,Nanobody,False,
zhoup1366.dbz7___a,20,34,0.1739130434782608,25,63,0.0,Nanobody,False,
zhoup1366.dbz8___a,15,37,0.1555555555555555,21,58,0.0533333333333333,Nanobody,False,
zulfatmi.pocket1pep78,13,13,0.7333333333333333,32,19,0.0,Peptide,False,
zulfatmi.pocket2pep63,7,12,0.2666666666666666,14,27,0.3225806451612903,Peptide,False,
zulfatmi.pocket7pep42,11,7,0.3846153846153846,17,18,0.3461538461538461,Peptide,False,
